scenario_id,test_id,control_surface,repeat_consistent,config_hash,candidate_pool_size,candidate_pool_size_delta,playlist_length,top10_overlap_count,playlist_overlap_count,mean_abs_rank_delta,observable_shift,expected_direction_met,profile_semantic_hash,ranked_output_hash,playlist_output_hash,archive_dir
baseline,baseline,fixed_bl010_baseline,True,7C1E067E227038DF9F7A25D7C9CA0E6B5A89475F057208EDC17767F9E464802A,33096,0,10,10,10,0.0,False,True,94CFED659305FD974F9A288D2D2A4400C06E9241A84543888096D372808A19A6,B05F1F2292783026BD65B67F84FE8D66623242735D7DAFD3E88A8A2D3295561C,A73E400C081F6A4F70B0ED2CA5325232D0740B3CA2C76F014359BFC3580881F8,07_implementation/implementation_notes/bl011_controllability/outputs/scenarios/baseline
no_influence_tracks,EP-CTRL-001,influence_tracks,True,CA17A0EB49893911930DCBBB5C2E9E2DDA44E0563AC7F0CBEEBEA55FD5DE2A87,33096,0,10,10,10,0.0,True,True,2FFBB930E004D5A579BBF74ABEB1193065F043005F8C4CDC0495B096173AB42C,B05F1F2292783026BD65B67F84FE8D66623242735D7DAFD3E88A8A2D3295561C,A73E400C081F6A4F70B0ED2CA5325232D0740B3CA2C76F014359BFC3580881F8,07_implementation/implementation_notes/bl011_controllability/outputs/scenarios/no_influence_tracks
valence_weight_up,EP-CTRL-002,feature_weight,True,A84C43FA63456586C173226AA15B89B63D0AEAD49CB135F8BA404922D760022F,33096,0,10,5,5,2876.321,True,True,94CFED659305FD974F9A288D2D2A4400C06E9241A84543888096D372808A19A6,EC0CD5A0FA2DDD64A827ECBEE6F7C7E4B569337EE102DF296FBDBB11EE2241A3,600021D1023A89BA2490847255E9DCFB71D95D0D4AB53570D162F855A3F806BB,07_implementation/implementation_notes/bl011_controllability/outputs/scenarios/valence_weight_up
stricter_thresholds,EP-CTRL-003,candidate_threshold,True,7F9E1B54041A318027EA257D650D96B53001DD43B9120314DF5603A9D3FEE0AC,22620,-10476,10,10,10,3667.295,True,True,94CFED659305FD974F9A288D2D2A4400C06E9241A84543888096D372808A19A6,6AE65496C7DB0CCF6EE74C3A4BC5651823E8817E62B10B98FD6F803B3B6EA321,B7D859381752FCD5C3AA16CCB53528F31452D11065A74EF074FFC5058ECEBD2C,07_implementation/implementation_notes/bl011_controllability/outputs/scenarios/stricter_thresholds
looser_thresholds,EP-CTRL-003,candidate_threshold,True,3F27F0F5BD90C8ECC81F5A4B2CC893D85FD0481650BD756B68AB1C9E86DA35C8,42086,8990,10,10,10,2937.982,True,True,94CFED659305FD974F9A288D2D2A4400C06E9241A84543888096D372808A19A6,D02E2A93EB849596F5D12031DB30B990B1E7C97107929E6C21CF464CA7D7D349,159CF267394E90F76AA564247437EBF0AD68610EC100307268EB2B368946C0D1,07_implementation/implementation_notes/bl011_controllability/outputs/scenarios/looser_thresholds
