source_type,source_row_index,spotify_track_id,isrc,track_name,artist_names,duration_ms,event_time,time_range,rank,playlist_id,playlist_name,playlist_position,match_status,match_method,matched_ds001_id,matched_song,matched_artist,duration_delta_ms,reason,preference_weight
top_tracks,63,2bi3SJI9GYzBEvPOh53EpX,USRC16005321,I Will Be Home Again,Elvis Presley,156541,,short_term,63,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,65,36rlDduHIpnVQMFznr1GDy,USRC16005328,Like a Baby,Elvis Presley,161893,,short_term,65,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,66,3CADzRN1OykvppXzYJRRHq,USRC16005324,Soldier Boy,Elvis Presley,187251,,short_term,66,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,68,3bNlkT7b8SlGEFgDYgHemj,SE6HN2173663,Disney Pixar's Up - Married Life / piano version - Instrumental Version,Santiago Melo,119250,,short_term,68,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,74,4noe32LLODXkYV5FqkTIKT,DEF058803212,"Toccata & Fugue in D Minor, BWV 565: II. Fugue",Johann Sebastian Bach | Simon Preston,354200,,short_term,74,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,75,4ogNDyqRuHvv3qADGiCazn,SEUM70500101,Should I Laugh Or Cry - Intro Version,ABBA,272333,,short_term,75,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,76,4zRZfRxsvUIOETGCvkkboc,USRC16007255,The Girl Next Door Went A'Walking,Elvis Presley,135713,,short_term,76,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,78,5RsdY1b0JSQTGeONEYFcwm,USRC16005326,It Feels So Right,Elvis Presley,131832,,short_term,78,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,79,5kRtxsw0JGktZ4fkeXCLlh,SEUM71200350,From A Twinkling Star To A Passing Angel - Demo Medley,ABBA,547880,,short_term,79,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,85,6gG5Xmu1lphjsxUDprMWLm,USSM19927699,"The Goonies 'R' Good Enough - From ""The Goonies"" Soundtrack",Cyndi Lauper,216866,,short_term,85,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,86,73m8WuJlhzVusTVzJCGaDZ,USRC16007197,Fever,Elvis Presley,215264,,short_term,86,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,88,0rhUvAqeXfG4gl4IZhglgX,GBAKW0300439,I Hear You Now,Jon & Vangelis,288200,,short_term,88,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,89,3mzKP5WdcB86KPOcpD663W,GBUM71204301,Arc Of A Diver: The Steve Winwood Story,Steve Winwood,3393133,,short_term,89,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,99,0yoHlBKXHK6uqkKKrR6549,AUUS00634627,Married Life (Up Movie Theme),Hollywood Classics,58185,,short_term,99,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,103,1AXyXGUFvce3tNwRDelbPf,GBAJY1509802,"Scherzo in B Minor, MWV U69",Felix Mendelssohn | Howard Shelley,66173,,short_term,103,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,105,1emZ9HriFeDe36qbVSUB9L,USACU0503383,Teddy Bear Song,Barbara Fairchild,184386,,short_term,105,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,106,1i5oEx2vFczQ2sCY3c6Kn5,USAM19500609,Love Hurts,Nazareth,233133,,short_term,106,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,107,1ksmaYi2yWCMG46EWbm1kX,UK4YE1300059,Running in the Family - Unplugged,Level 42,283599,,short_term,107,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,108,1qqtb9WEtsanQpElKWQs9x,GBAAN8000014,Spanish Dancer,Steve Winwood,360266,,short_term,108,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,111,28fI85MOgzcIPWpS4NNMYP,USMR18930344,Marathon - Live In Birmingham England/1988,Rush,399666,,short_term,111,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,112,2MUWyT5IwC78FzzvJ7GpJU,QZDA42456093,Now We Are Free (from “Gladiator”) - Piano Version,Jacob's Piano,191756,,short_term,112,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,113,2xZSSlwJvomeVI7YWbjlay,GBGVZ0850002,Albatross,The Session,189973,,short_term,113,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,114,2zfzktmvCMIIPaey2DiO9H,USSM22600232,"Piano Man - Live at Wembley Arena, June 8, 1984",Billy Joel,459520,,short_term,114,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,117,3AMCuMIDuPKM2nxf3dKyx4,USJT12000129,"Absolute Beginners - Live at BBC Radio Theatre, London, 27th June, 2000; 2021 Remaster",David Bowie,394876,,short_term,117,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,119,3M7A89P5LDjRzoRjeMp0ad,GBAYD8300163,Amor vittorioso - 1989 Digital Remaster,The King's Singers | Consort Of Musicke,43266,,short_term,119,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,120,3NOX2QXWXZe1N10iboNVZP,SE6HN2173661,Passacaglia / Handel - Instrumental Version,Santiago Melo,157500,,short_term,120,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,121,3W0rRQVOE5mE5qNjsgiXjL,BEY449800215,"Theme From ""Hawaii Five-0""",The Whodads,111893,,short_term,121,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,123,3i0DP1AB6ha4JlFH8RrB1n,GBAAN8100002,Sweetheart,Marianne Faithfull,197160,,short_term,123,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,125,3wLBK5rqH6MjvN7EubEKTC,GBAAN8000015,Night Train,Steve Winwood,470066,,short_term,125,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,126,3wq4jcgClEawNa7v54onJe,GBAYE2100037,Suburbia - 2023 Remaster,Pet Shop Boys,244986,,short_term,126,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,129,4H01mwwbBufDk74Gg4wwkV,USWWW0127629,Slowdown Sundown,Steve Winwood,327173,,short_term,129,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,131,4jgdKiZhbD6BlVMhCf4NJH,GBAYE1700764,Opportunities (Let's Make Lots of Money) - 2018 Remaster,Pet Shop Boys,223666,,short_term,131,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,132,4peE8TByata0dJsmmwlFtC,USUM72508072,Distant Early Warning - 2026 Terry Brown Mix,Rush,295380,,short_term,132,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,133,55OFR7IaTUPbKuqT1TqmhQ,GBSWE0813179,Mission Impossible,DLG Orchestra,194773,,short_term,133,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,134,56pV40GccoDi3obX7YoKfO,USUM72508182,"Kid Gloves - Live At Maple Leaf Gardens, Toronto, Canada - September 21, 1984",Rush,262973,,short_term,134,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,137,5vrMM7hAZPQx9955euW6Jb,USJT11700514,Blue Jean - 2018 Remaster,David Bowie,191906,,short_term,137,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,138,6MOvNZLlCiR8kUvvK61B4z,GBUM71204304,Arc Of A Diver - Edited / US Single Version,Steve Winwood,255240,,short_term,138,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,140,6mVlGhXn7yXqI3iiwfeyHj,ITUM71701149,X Colpa Di Chi? - Remastered 2017,Zucchero,194600,,short_term,140,,,,unmatched,,,,,,no_ds001_candidate,2.500000
top_tracks,142,7a1vlK2RyPLh05moKO1fQf,USWWW0127628,Second-Hand Woman,Steve Winwood,221160,,short_term,142,,,,unmatched,,,,,,no_ds001_candidate,2.500000
