added_at,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-02-28T19:42:02Z,6EIKNn0NyCIEAeUUuLbYiJ,spotify:track:6EIKNn0NyCIEAeUUuLbYiJ,Leon the Professional,6W4vm8P3JFQboO4cvHeqaa,Knucks,103O26J3AHRwYYZyRfKuwQ,ALPHA PLACE,2022-05-06,day,200550,200.55,,False,True,,,GB45A2102616,https://api.spotify.com/v1/tracks/6EIKNn0NyCIEAeUUuLbYiJ,https://open.spotify.com/track/6EIKNn0NyCIEAeUUuLbYiJ
2026-02-28T19:35:06Z,00S54Je0ffaNP8ClzQPjWy,spotify:track:00S54Je0ffaNP8ClzQPjWy,Crazy Love,7b79bQFziJFedJb75k6hFt | 3Ut1IKlpXHBQwxklMxBsPX | 49GY4uPAwdlk5lSGtfKWYl,Tion Wayne | LeoStayTrill | MJ Cole,1d7YlcfbkKjTZi061rJYlo,Crazy Love,2025-04-11,day,120513,120.513,,False,True,,,GXD7G2582648,https://api.spotify.com/v1/tracks/00S54Je0ffaNP8ClzQPjWy,https://open.spotify.com/track/00S54Je0ffaNP8ClzQPjWy
2026-02-28T17:52:27Z,7qNR5ZZpmvV1MGlHzDNfVL,spotify:track:7qNR5ZZpmvV1MGlHzDNfVL,MONTAGEM PASSARELA,6ejSrvgmt2Rhnv07C1FLov | 4YeITwoqeIks45gELm488B | 3TRGcoCyx8sdb1XrHBgBrD,VXCA | NOIXES | CORE,47yjN92n6COkxHkRlzBSj4,MONTAGEM PASSARELA,2026-02-13,day,77044,77.044,,True,True,,,QM4TX2640015,https://api.spotify.com/v1/tracks/7qNR5ZZpmvV1MGlHzDNfVL,https://open.spotify.com/track/7qNR5ZZpmvV1MGlHzDNfVL
2026-02-28T17:49:28Z,7FeYyhrVasUOsKr7ESqiZ8,spotify:track:7FeYyhrVasUOsKr7ESqiZ8,Dale Otra Vez - Slowed,6CYjGgv0fYxHFHCKWn7SyX | 1qWsDGT8AjLYkcSX6A5Yg1,DIPIENS | Dj Syndr0m,1SIOltpr1dYARMmuJhBT2I,Dale Otra Vez,2025-11-28,day,121951,121.951,,False,True,,,CA5KR2604648,https://api.spotify.com/v1/tracks/7FeYyhrVasUOsKr7ESqiZ8,https://open.spotify.com/track/7FeYyhrVasUOsKr7ESqiZ8
2026-02-28T17:31:10Z,3Uv9b5HnIjKnw8yTsurAXR,spotify:track:3Uv9b5HnIjKnw8yTsurAXR,MONTAGEM ECLIPSE (Instrumental),3QMpCp3GHiHXgnX1LldXWe,DJ FKU,3WRqQu7JiH1id3L6T5gmA0,MONTAGEM ECLIPSE (Instrumental),2025-12-26,day,129778,129.778,,False,True,,,AEA3A2666454,https://api.spotify.com/v1/tracks/3Uv9b5HnIjKnw8yTsurAXR,https://open.spotify.com/track/3Uv9b5HnIjKnw8yTsurAXR
2026-02-28T17:29:25Z,5bdor4ifFuEfOG7iGHrdJs,spotify:track:5bdor4ifFuEfOG7iGHrdJs,fear,5uZ7rugsxiLvGlUpvB7TGG,NILXRO,3tLo0Y5pigZSnyot7R1ZQT,fear,2025-09-08,day,101400,101.4,,False,True,,,CA5KR2589514,https://api.spotify.com/v1/tracks/5bdor4ifFuEfOG7iGHrdJs,https://open.spotify.com/track/5bdor4ifFuEfOG7iGHrdJs
2026-02-28T17:12:40Z,2gzG0BA9VsWmg10wNscLNp,spotify:track:2gzG0BA9VsWmg10wNscLNp,MONTAGEM PIRANHA,6ejSrvgmt2Rhnv07C1FLov | 3poBLJyorpZVSaAjz6IxjM,VXCA | $hXTGUN!,2lmzgKMXKVKoZwo8Q2z0tp,MONTAGEM PIRANHA,2026-01-16,day,83709,83.709,,True,True,,,US3DF2605010,https://api.spotify.com/v1/tracks/2gzG0BA9VsWmg10wNscLNp,https://open.spotify.com/track/2gzG0BA9VsWmg10wNscLNp
2026-02-28T13:40:41Z,1L9UvkvqfUBHfRLZvbYHFm,spotify:track:1L9UvkvqfUBHfRLZvbYHFm,"Introduction et allegro, M.46",17hR0sYHpx7VYTMRfFUOmY | 2Fuu5tGwM8peUCcmY27gbD | 2vo3wbUV7ATdKj5Qm0c7ne | 1Daz5yxqdRWtaPWnTznHqi | 6VUEcB4QS32RzactYpxr1B | 1m4qcVfkQjFZkjDk0oFYLK | 0c5GLShd3CxQr9kI30mtFh | 2888lcYeORj9KRhyMPulgx,Maurice Ravel | Mélanie Laurent | Manon Galy | Sarah Jégou-Sageman | Élodie Laurent | Maxime Quennesson | Joë Christophe | Joséphine Poncelin de Raucourt,3QJUJXi90Fs10Sq406Sx6y,Pastel,2025-11-21,day,672986,672.986,,False,True,,,FR3KD2500162,https://api.spotify.com/v1/tracks/1L9UvkvqfUBHfRLZvbYHFm,https://open.spotify.com/track/1L9UvkvqfUBHfRLZvbYHFm
2026-02-28T13:23:27Z,1T08XqfbOPbT4FbZe0s0pA,spotify:track:1T08XqfbOPbT4FbZe0s0pA,Songs My Mother Taught Me (Arr. for Violin and Piano by Galy & Gonzalez Buajasan After Powell),6n7nd5iceYpXVwcx8VPpxF | 2vo3wbUV7ATdKj5Qm0c7ne | 3WD0LOteusjTDfyEF2SMq8,Antonín Dvořák | Manon Galy | Jorge Gonzalez Buajasan,3lKyFKYHZigsVbv1KSGZaC,Dvořák: Songs My Mother Taught Me (Arr. for Violin and Piano by Galy & Gonzalez Buajasan After Powell),2026-02-27,day,199480,199.48,,False,True,,,FROV62539704,https://api.spotify.com/v1/tracks/1T08XqfbOPbT4FbZe0s0pA,https://open.spotify.com/track/1T08XqfbOPbT4FbZe0s0pA
2026-02-26T21:42:39Z,2OHcq36FHgNz7WmZeEA7OV,spotify:track:2OHcq36FHgNz7WmZeEA7OV,Dia De Fiesta - Slowed,32Pxa55IN0QAmFtzWcT2w9 | 4DjtkBR7ul4uWZ04P9uBHC | 5zKLWye8G9o3h5nj7OdpsI,qaraqshy | !Nxght | ZNVUTY,7JrbL59UFsMm9MA5MX8ZgZ,Dia De Fiesta,2025-07-01,day,106422,106.422,,False,True,,,FRX452577610,https://api.spotify.com/v1/tracks/2OHcq36FHgNz7WmZeEA7OV,https://open.spotify.com/track/2OHcq36FHgNz7WmZeEA7OV
