played_at,context_type,context_uri,track_id,track_uri,track_name,artist_ids,artist_names,album_id,album_name,release_date,release_date_precision,duration_ms,duration_seconds,popularity,explicit,is_playable,restriction_reason,linked_from_track_id,isrc,track_href,track_external_url
2026-03-24T14:47:15.900Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,1dcphLLksiA99xOQujqUAa,spotify:track:1dcphLLksiA99xOQujqUAa,Honey,3OsRAKCvk37zwYcnzRf5XF,Moby,4KZWx8zo5ym89aopr0dBIb,Play,1999-05-17,day,208666,208.666,,False,,,,,https://api.spotify.com/v1/tracks/1dcphLLksiA99xOQujqUAa,https://open.spotify.com/track/1dcphLLksiA99xOQujqUAa
2026-03-24T14:43:45.838Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,6HqsiOkwppOgixff56dWDm,spotify:track:6HqsiOkwppOgixff56dWDm,The Last Day,3OsRAKCvk37zwYcnzRf5XF | 4utLUGcTvOJFr6aqIJtYWV,Moby | Skylar Grey,42nWWdyergWptZNYUKmxEn,Innocents,2013-09-30,day,279659,279.659,,False,,,,,https://api.spotify.com/v1/tracks/6HqsiOkwppOgixff56dWDm,https://open.spotify.com/track/6HqsiOkwppOgixff56dWDm
2026-03-24T14:39:16.113Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,7uCnDfUGb0vtjonHaSv6ka,spotify:track:7uCnDfUGb0vtjonHaSv6ka,In This World,3OsRAKCvk37zwYcnzRf5XF,Moby,200xhXQBPc2OWPsZ3koxTc,18,2002-05-13,day,242520,242.52,,False,,,,,https://api.spotify.com/v1/tracks/7uCnDfUGb0vtjonHaSv6ka,https://open.spotify.com/track/7uCnDfUGb0vtjonHaSv6ka
2026-03-24T14:35:15.731Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,7siMHyJyxIwMQkHc7EPi9D,spotify:track:7siMHyJyxIwMQkHc7EPi9D,Why Does My Heart Feel So Bad?,3OsRAKCvk37zwYcnzRf5XF,Moby,4KZWx8zo5ym89aopr0dBIb,Play,1999-05-17,day,264840,264.84,,False,,,,,https://api.spotify.com/v1/tracks/7siMHyJyxIwMQkHc7EPi9D,https://open.spotify.com/track/7siMHyJyxIwMQkHc7EPi9D
2026-03-24T14:30:15.694Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,4w2lSUBDCLp8Tskl95xNAU,spotify:track:4w2lSUBDCLp8Tskl95xNAU,Flower,3OsRAKCvk37zwYcnzRf5XF,Moby,6vcm3ltupPkA4zt82auiKh,Play: The Complete Recordings,1999-05-17,day,206306,206.306,,False,,,,,https://api.spotify.com/v1/tracks/4w2lSUBDCLp8Tskl95xNAU,https://open.spotify.com/track/4w2lSUBDCLp8Tskl95xNAU
2026-03-24T14:26:45.846Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,00TFDHSe7s8cWm5CzDY8UP,spotify:track:00TFDHSe7s8cWm5CzDY8UP,Extreme Ways,3OsRAKCvk37zwYcnzRf5XF,Moby,200xhXQBPc2OWPsZ3koxTc,18,2002-05-13,day,237640,237.64,,False,,,,,https://api.spotify.com/v1/tracks/00TFDHSe7s8cWm5CzDY8UP,https://open.spotify.com/track/00TFDHSe7s8cWm5CzDY8UP
2026-03-24T14:22:45.978Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,0NNCkIadCP6VnV7LeGL1zx,spotify:track:0NNCkIadCP6VnV7LeGL1zx,Natural Blues,3OsRAKCvk37zwYcnzRf5XF,Moby,4KZWx8zo5ym89aopr0dBIb,Play,1999-05-17,day,253773,253.773,,False,,,,,https://api.spotify.com/v1/tracks/0NNCkIadCP6VnV7LeGL1zx,https://open.spotify.com/track/0NNCkIadCP6VnV7LeGL1zx
2026-03-24T14:18:45.619Z,artist,spotify:artist:3OsRAKCvk37zwYcnzRf5XF,1ORVvJTrV9Xz6e1G3k2a1R,spotify:track:1ORVvJTrV9Xz6e1G3k2a1R,When It's Cold I'd Like to Die,3OsRAKCvk37zwYcnzRf5XF,Moby,3gB3QIzUFaJ3TxqZ3CJrwC,Everything Is Wrong,1995-03-14,day,254000,254.0,,False,,,,,https://api.spotify.com/v1/tracks/1ORVvJTrV9Xz6e1G3k2a1R,https://open.spotify.com/track/1ORVvJTrV9Xz6e1G3k2a1R
2026-03-24T14:13:46.774Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,2M9ro2krNb7nr7HSprkEgo,spotify:track:2M9ro2krNb7nr7HSprkEgo,Fast Car,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,296800,296.8,,False,,,,,https://api.spotify.com/v1/tracks/2M9ro2krNb7nr7HSprkEgo,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo
2026-03-24T10:41:13.467Z,album,spotify:album:6hmmX5UP4rIvOpGSaPerV8,0YMFcrMtBowDdD5bPz0cgy,spotify:track:0YMFcrMtBowDdD5bPz0cgy,Talkin' Bout a Revolution,7oPgCQqMMXEXrNau5vxYZP,Tracy Chapman,6hmmX5UP4rIvOpGSaPerV8,Tracy Chapman,1988-04-05,day,161600,161.6,,False,,,,,https://api.spotify.com/v1/tracks/0YMFcrMtBowDdD5bPz0cgy,https://open.spotify.com/track/0YMFcrMtBowDdD5bPz0cgy
