rank,track_id,lead_genre,matched_genres,matched_tags,final_score,tempo_similarity,tempo_contribution,key_similarity,key_contribution,mode_similarity,mode_contribution,duration_ms_similarity,duration_ms_contribution,lead_genre_similarity,lead_genre_contribution,genre_overlap_similarity,genre_overlap_contribution,tag_overlap_similarity,tag_overlap_contribution
8120,mqrT0dbkpYKcNiV9,brazilian,pop,pop,0.149763,0.07891,0.009469,0.103251,0.00826,0.271408,0.018999,0.357581,0.028606,0.0,0.0,0.229808,0.043664,0.177239,0.040765
8121,zmEDQczaIidA1l7W,spanish,pop,pop,0.14964,0.0,0.0,0.0,0.0,0.271408,0.018999,0.577648,0.046212,0.0,0.0,0.229808,0.043664,0.177239,0.040765
8122,R9iWNbIWdB0z9RRr,folk,folk|singer-songwriter,indie,0.149572,0.093757,0.011251,0.0,0.0,0.271408,0.018999,0.520315,0.041625,0.202347,0.04654,0.103465,0.019658,0.049994,0.011499
8123,g9vb012NskmI9K0E,electronic,electronic,electronic|alternative,0.149456,0.0,0.0,0.0,0.0,0.271408,0.018999,0.025885,0.002071,0.363755,0.083664,0.078055,0.01483,0.129964,0.029892
8124,DThmoQVuk2McJBub,folk,folk|singer-songwriter,,0.149128,0.294224,0.035307,0.103251,0.00826,0.271408,0.018999,0.254548,0.020364,0.202347,0.04654,0.103465,0.019658,0.0,0.0
8125,h6Bkk9kvY7NzBvfQ,pop punk,rock,rock,0.149041,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.133581,0.010686,0.0,0.0,0.302395,0.057455,0.233222,0.053641
8126,IU4DZ4hJbmjiNFqq,60s,pop,pop,0.148909,0.310176,0.037221,0.103251,0.00826,0.271408,0.018999,0.0,0.0,0.0,0.0,0.229808,0.043664,0.177239,0.040765
8127,1lWT9ZA3VBU6OETw,indie,pop,indie|alternative|pop,0.148709,0.078976,0.009477,0.103251,0.00826,0.271408,0.018999,0.0,0.0,0.0,0.0,0.229808,0.043664,0.296997,0.068309
8128,3Dc6XYkjIqYPGbog,folk,folk,indie,0.148646,0.0,0.0,0.769917,0.061593,0.271408,0.018999,0.032648,0.002612,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8129,rPYUv4o63wXq9L13,alternative,electronic,alternative|electronic,0.14859,0.43149,0.051779,0.0,0.0,0.271408,0.018999,0.413619,0.03309,0.0,0.0,0.078055,0.01483,0.129964,0.029892
8130,rd4XbQGejiaZP8Lw,country,pop,female vocalists|pop,0.148572,0.275976,0.033117,0.0,0.0,0.271408,0.018999,0.0,0.0,0.0,0.0,0.229808,0.043664,0.229532,0.052792
8131,XXproVvpAKDgwb4w,rnb,pop,pop,0.148501,0.0,0.0,0.563416,0.045073,0.271408,0.018999,0.0,0.0,0.0,0.0,0.229808,0.043664,0.177239,0.040765
8132,79cTDg8KU8zRHcXe,heavy metal,rock,rock,0.148377,0.07531,0.009037,0.103251,0.00826,0.271408,0.018999,0.012315,0.000985,0.0,0.0,0.302395,0.057455,0.233222,0.053641
8133,GabM6JeJH3T8wsib,electronic,electronic,electronic,0.148041,0.0,0.0,0.0,0.0,0.271408,0.018999,0.208781,0.016702,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
8134,maIiNMcgeAD5JzNn,electronic,electronic,electronic,0.148008,0.125357,0.015043,0.0,0.0,0.271408,0.018999,0.020319,0.001626,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
8135,SEtfTg2ol3LbYA3L,indie,folk,indie,0.147988,0.620176,0.074421,0.0,0.0,0.271408,0.018999,0.445819,0.035666,0.0,0.0,0.038964,0.007403,0.049994,0.011499
8136,PjlmZuOfDciNPZOG,darkwave,electronic,electronic,0.147887,0.45949,0.055139,0.563416,0.045073,0.271408,0.018999,0.0,0.0,0.0,0.0,0.078055,0.01483,0.0602,0.013846
8137,MsPLVds6E2WqDsQe,folk,folk,indie,0.147857,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.689452,0.055156,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8138,VPcSMGMJU5Zxcj6J,folk,folk,indie|alternative,0.147713,0.393557,0.047227,0.0,0.0,0.271408,0.018999,0.0,0.0,0.202347,0.04654,0.038964,0.007403,0.119758,0.027544
8139,oPigzupOOncRLEvu,folk,folk|singer-songwriter,female vocalists,0.147713,0.025557,0.003067,0.0,0.0,0.271408,0.018999,0.592781,0.047422,0.202347,0.04654,0.103465,0.019658,0.052292,0.012027
8140,tFCydMi5EW2rCXwF,singer-songwriter,singer-songwriter|folk,indie|female vocalists,0.147539,0.33569,0.040283,0.563416,0.045073,0.271408,0.018999,0.0,0.0,0.0,0.0,0.103465,0.019658,0.102286,0.023526
8141,5q4LFGRu62FbuBsH,electronic,electronic,electronic|alternative,0.147385,0.0,0.0,0.0,0.0,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.129964,0.029892
8142,SbXwF9AG14kXrseu,electronic,electronic,electronic|alternative,0.147385,0.0,0.0,0.0,0.0,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.129964,0.029892
8143,KyZ3HJItTUEMmlsq,folk,folk|singer-songwriter,indie,0.147339,0.216776,0.026013,0.0,0.0,0.271408,0.018999,0.307881,0.02463,0.202347,0.04654,0.103465,0.019658,0.049994,0.011499
8144,gaHHNiy1OAbHwx6P,punk rock,rock,rock|alternative,0.147322,0.009843,0.001181,0.0,0.0,0.271408,0.018999,0.0,0.0,0.0,0.0,0.302395,0.057455,0.302986,0.069687
8145,34m6FGsBGNQKzTzq,80s,alternative rock,80s,0.147065,0.250576,0.030069,0.0,0.0,0.271408,0.018999,0.908119,0.07265,0.0,0.0,0.043866,0.008335,0.073965,0.017012
8146,N7VC7jqkvTWwnwnc,synthwave,electronic,electronic,0.147058,0.541776,0.065013,0.0,0.0,0.271408,0.018999,0.429619,0.03437,0.0,0.0,0.078055,0.01483,0.0602,0.013846
8147,c15ymPkCTv4zVHu4,french,pop,pop|female vocalists,0.146958,0.077424,0.009291,0.0,0.0,0.271408,0.018999,0.277648,0.022212,0.0,0.0,0.229808,0.043664,0.229532,0.052792
8148,CCzgfqDClaubr1qT,hip-hop,rap,80s,0.146949,0.70711,0.084853,0.0,0.0,0.271408,0.018999,0.206352,0.016508,0.0,0.0,0.050403,0.009577,0.073965,0.017012
8149,NJm8BmiyITIc4bWK,folk,folk|singer-songwriter,indie,0.146851,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.523685,0.041895,0.202347,0.04654,0.103465,0.019658,0.049994,0.011499
8150,IMlL0ZtUffkb1oVw,folk,folk,indie,0.146801,0.0,0.0,0.103251,0.00826,0.271408,0.018999,0.676248,0.0541,0.202347,0.04654,0.038964,0.007403,0.049994,0.011499
8151,yEHgvLl0gU6HIFr5,electronic,electronic,electronic,0.14665,0.058757,0.007051,0.103251,0.00826,0.271408,0.018999,0.0,0.0,0.363755,0.083664,0.078055,0.01483,0.0602,0.013846
