scenario_id,test_id,control_surface,repeat_consistent,config_hash,candidate_pool_size,candidate_pool_size_delta,playlist_length,top10_overlap_count,playlist_overlap_count,mean_abs_rank_delta,observable_shift,expected_direction_met,profile_semantic_hash,ranked_output_hash,playlist_output_hash,archive_dir
baseline,baseline,fixed_bl010_baseline,True,B00DCC043F2FA748D580CC2D2C96546BD26315F13E205AF6F39EBE125233A4DC,58823,0,10,10,10,0.0,False,True,9F688BAF4E25DDFA965FBB75DE34C4C3292AC8CDDFB49AFA9FB44BA45023B89D,72EE98F8A6498375B6721DFA863B86AC7F98334C5900562BA3CF3451395BCAE6,29215E2A72914946AC2196F2F7561A2745ACE540F9558980EB987C5E44EC2FA1,07_implementation/implementation_notes/controllability/outputs/scenarios/baseline
no_influence_tracks,EP-CTRL-001,influence_tracks,True,FC90EFA24234CEB639E0AFC70CE34EE43AC99FCBCE4A91FCEA7DF912DDAD2B48,58823,0,10,10,10,0.0,True,True,DD19358D69B6F1A700DD5F81F3026EBFE9D680647B2512B6B23E91DA80857F92,72EE98F8A6498375B6721DFA863B86AC7F98334C5900562BA3CF3451395BCAE6,29215E2A72914946AC2196F2F7561A2745ACE540F9558980EB987C5E44EC2FA1,07_implementation/implementation_notes/controllability/outputs/scenarios/no_influence_tracks
valence_weight_up,EP-CTRL-002,feature_weight,True,4810451CE5753847049A86FE02002F9ED2BEB7E88FE9EF42E48F17EC17A0DCE2,58823,0,10,9,7,2060.956,True,True,9F688BAF4E25DDFA965FBB75DE34C4C3292AC8CDDFB49AFA9FB44BA45023B89D,6A8CED9F27D91959EDBAC4605CEB40F2D28420F2AB6D0964CB4B2CA5D82FA766,00B5DCE350B5CD9E2B38E717F72AD4F0C31DB4002048EB716C07E208F3A80F18,07_implementation/implementation_notes/controllability/outputs/scenarios/valence_weight_up
stricter_thresholds,EP-CTRL-003,candidate_threshold,True,517F90B18165B6DD808D59D058F65498DF085AB1C8BCD640F126AB243C6B9846,58423,-400,10,10,10,3.183,True,True,9F688BAF4E25DDFA965FBB75DE34C4C3292AC8CDDFB49AFA9FB44BA45023B89D,4DDF02E33BB4225D05F56D26D8D1A43929FE0F58AC426DD5E23C586B64310726,29215E2A72914946AC2196F2F7561A2745ACE540F9558980EB987C5E44EC2FA1,07_implementation/implementation_notes/controllability/outputs/scenarios/stricter_thresholds
looser_thresholds,EP-CTRL-003,candidate_threshold,True,BD599197DB48171259840803383488BADDF12B31F468BBFC6B2E475322BB5D29,59099,276,10,10,10,0.149,True,True,9F688BAF4E25DDFA965FBB75DE34C4C3292AC8CDDFB49AFA9FB44BA45023B89D,6272C09269161790972EA7CF249BBF9B75B51A229ECE40193F63BD24B46F2210,29215E2A72914946AC2196F2F7561A2745ACE540F9558980EB987C5E44EC2FA1,07_implementation/implementation_notes/controllability/outputs/scenarios/looser_thresholds
